序号,cbb_code,embedding_text
69,HB2026-S26,VELCRO 尼龙细勾面 射出勾面
70,HB2026-S28,VELCRO 尼龙勾面 射出勾面
71,HB2026-S29,VELCRO 尼龙勾面 射出勾面
72,HB2026-S27,VELCRO 尼龙细软勾面 细软勾面
73,HB2026-S30,VELCRO 尼龙细软勾面 细软勾面
74,HB2026-S31,VELCRO 拉毛布复合尼龙勾面 背布魔术贴（勾面）
75,HB2026-S23,WEBBING 尼龙松紧带（印花采用升华印花工艺） 松紧带
76,HB2026-S35,WEBBING 尼龙织带 刚性带
77,HB2026-S41,PAD PE塑料条 塑料支撑
78,HB2026-S72,PAD 铝条支撑片 金属支撑
79,HB2026-S73,PAD 铝条支撑片 金属支撑
80,HB2026-S74,PAD 铝条支撑片 金属支撑
81,HB2026-S75,PAD 铝条支撑片 金属支撑
82,HB2026-S76,PAD 铝条支撑片 金属支撑
83,HB2026-S77,PAD 铝条支撑片 金属支撑
84,HB2026-S69,PAD 高发泡 发泡材料
85,HB2026-S39,PARTS PP塑料壳 调节配件
86,HB2026-S40,PARTS PP塑料壳 调节配件
87,HB2026-S24,PARTS PP塑料壳 支撑配件
88,HB2026-S42,APPEARANCE 印花【SERUNA logo 白色】 logo印花
89,HB2026-S43,APPEARANCE 印花【SERUNA logo 蓝色】 logo印花
90,HB2026-S44,APPEARANCE 印花【SERUNA 文字logo 白色】 logo印花
91,HB2026-S45,APPEARANCE 印花【SERUNA logo 圆形】 logo印花
92,HB2026-S46,APPEARANCE 印花【SERUNA 魔术贴】 logo印花
93,HB2026-S47,APPEARANCE 印花【SERUNA logo 山形+圆形1】 logo印花
94,HB2026-S48,APPEARANCE 印花【SERUNA logo 山形+圆形2】 logo印花
95,HB2026-S49,APPEARANCE 印花【SERUNA logo 山形】 logo印花
96,HB2026-S50,APPEARANCE 印花【TMT康复弧线】 主体印花
97,HB2026-S51,APPEARANCE 印花【SERUNA 护踝】 主体印花
98,HB2026-S52,APPEARANCE 印花【SERUNA 护膝 蓝白】 主体印花
99,HB2026-S53,APPEARANCE 印花【SERUNA 护膝 黑白】 主体印花
100,HB2026-S54,APPEARANCE 印花【SERUNA 护踝 蓝白】 主体印花
101,HB2026-S55,APPEARANCE 印花【SERUNA 护踝 黑蓝】 主体印花
102,BX-HX-04,PATTERN 莱卡夹胶复合面料
103,BX-HX-05,PATTERN 莱卡夹胶复合面料
104,BX-HX-10,PATTERN 双面复合摇粒绒
105,BX-HX-11,PATTERN 莱卡TPU复合面料
106,BX-HY-05,PATTERN 带孔亲肤复合面料
107,BX-HY-06,PATTERN 透气弹性复合面料
108,BX-HW-03,PATTERN 方形弹力网布【升级不变形】
109,BX-HW-04,PATTERN 高弹透气针织布
110,BX-HW-05,PATTERN 莱卡高弹力针织布
111,BX-HW-06,PATTERN N裸感布黑色对贴
112,BX-HW-09,PATTERN 透气网孔三明治布
113,BX-HW-10,PATTERN 透气网孔三明治布
114,BX-HW-11,PATTERN 锦氨网眼布
115,BX-HW-12,PATTERN 锦氨小蝶网+高回弹TPU+超细OK灰色
116,BX-HW-13,PATTERN 粘扣布背热熔胶黑色
117,BX-HH-01,PATTERN 亲肤带孔莱卡布
118,BX-HH-05,PATTERN 打孔高弹力针织布复合
119,BX-HH-06,PATTERN 三明治网布
120,BX-HH-07,PATTERN 200克涤氨四面弹灰色
121,02.01.01,FABRIC 网眼三明治（黑色F265三明治 三明治网布
122,02.01.02,FABRIC 网眼三明治（灰色F265三明治 三明治网布
123,02.02.01,FABRIC 1.4牛巴哥黑色 皮革
124,02.02.02,FABRIC 1.4牛巴哥灰色 皮革
125,02.02.03,FABRIC 牛津布底细布纹革黑色 皮革
126,02.02.04,FABRIC 牛津布底细布纹革灰色改肤感硅胶17#灰色 皮革
127,02.02.05,FABRIC 新欧标细羊纹黑色 皮革
128,02.02.06,FABRIC 新欧标细羊纹白色 皮革
129,02.03.01,FABRIC 粘扣布贴涤纶莱卡黑色 tpu贴合类复合面料
130,02.03.02,FABRIC 粘扣布贴涤纶莱卡灰色 tpu贴合类复合面料
131,02.03.03,FABRIC 涤氨莱卡+15sTPU+莱卡黑色 tpu贴合类复合面料
132,02.03.04,FABRIC 涤氨莱卡+15sTPU+莱卡肤色 tpu贴合类复合面料
133,02.03.05,FABRIC 纳米网眼152cm180gsm，黑色对贴 tpu贴合类复合面料
134,02.03.06,FABRIC 纳米网眼152cm180gsm，肤色对贴 tpu贴合类复合面料
135,02.03.07,FABRIC 49#灰色N裸感布+10A浅灰色粘扣布 tpu贴合类复合面料
136,02.03.08,FABRIC 锦氨小蝶网+高回弹TPU+超细OK黑色 tpu贴合类复合面料
137,02.03.09,FABRIC 锦氨小蝶网+高回弹TPU+超细OK灰色 tpu贴合类复合面料
138,02.03.10,FABRIC 锦氨莱卡+15sTPU+莱卡灰色 tpu贴合类复合面料
139,02.03.12,FABRIC 纳米网眼灰色180gsm对贴 tpu贴合类复合面料
140,02.03.13,FABRIC 山波条纹布+15stpu+纳米网眼浅灰色 tpu贴合类复合面料
141,02.03.14,FABRIC 莱卡黑色+15sTPU+ok布黑色 tpu贴合类复合面料
142,02.03.15,FABRIC 莱卡灰色+15sTPU+ok布灰色 tpu贴合类复合面料
143,02.04.01,FABRIC 灰色锦双面莱卡贴1.5mmSBR贴仿N布 SBR复合面料类
144,02.04.02,FABRIC 仿ok+2mmSBR+T布+热熔胶膜+打孔黑色 SBR复合面料类
145,02.04.03,FABRIC 牛奶丝+2MMSBR+牛奶丝 黑色 打孔 SBR复合面料类
146,02.04.04,FABRIC 牛奶丝+2MMSBR+牛奶丝 灰色 打孔 SBR复合面料类
147,02.04.05,FABRIC 灰仿Ok布+2MM黑SBR+灰N布冲孔 SBR复合面料类
148,02.04.06,FABRIC 2.5mmSBR黑色 SBR复合面料类
149,02.05.01,FABRIC 粘扣布背热熔胶黑色 热熔胶膜类复合布
150,02.05.02,FABRIC 粘扣布背热熔胶肤色 热熔胶膜类复合布
151,02.05.03,FABRIC 粘扣布背热熔胶黑色冲孔 热熔胶膜类复合布
152,02.05.04,FABRIC 粘扣布背热熔胶黑色冲孔 热熔胶膜类复合布
153,02.05.05,FABRIC 锦双面莱卡布灰色贴15s热熔胶膜 热熔胶膜类复合布
154,02.05.06,FABRIC 49#灰色N裸感布贴10s热熔胶膜 热熔胶膜类复合布
155,02.05.07,FABRIC 牛奶丝拉毛黑色贴10s热融胶膜 热熔胶膜类复合布
156,02.05.08,FABRIC 粘扣布背热熔胶肤色H25 热熔胶膜类复合布
157,02.05.09,FABRIC 粘扣布背热熔胶灰色H50 热熔胶膜类复合布
158,02.05.10,FABRIC 320克蝶网黑色背热熔胶膜 热熔胶膜类复合布
159,02.05.11,FABRIC 320克蝶网肤色背热熔胶膜 热熔胶膜类复合布
160,02.05.12,FABRIC N裸感布黑色对贴背热熔胶膜 热熔胶膜类复合布
161,02.05.13,FABRIC 粘扣布背热熔胶浅灰色H2 热熔胶膜类复合布
162,02.05.14,FABRIC 山波条纹布浅灰色背热熔胶膜 热熔胶膜类复合布
163,02.05.15,FABRIC 莱卡+15sTPU+莱卡黑色+20s热熔胶膜 热熔胶膜类复合布
164,02.05.16,FABRIC ok布黑色背热熔胶膜 热熔胶膜类复合布
165,02.05.17,FABRIC ok布灰色背热熔胶膜 热熔胶膜类复合布
166,02.05.18,FABRIC 莱卡+15sTPU+莱卡灰色+20s热熔胶膜 热熔胶膜类复合布
167,02.06.01,FABRIC 200克涤氨四面弹黑色 四面弹类布
168,02.06.02,FABRIC 200克涤氨四面弹灰色 四面弹类布
169,02.06.03,FABRIC 冰感小雨点165cm 160克蓝色 四面弹类布
170,02.06.04,FABRIC 160克鲨鱼皮白色 四面弹类布
171,02.06.05,FABRIC 牛奶丝拉架170克白色 四面弹类布
172,02.06.06,FABRIC 8112#网眼布34#黑色160克160cm 四面弹类布
173,02.06.07,FABRIC 8112#网眼布26#蓝灰色 四面弹类布
174,02.06.08,FABRIC 320克蝶网黑色 四面弹类布
175,02.06.09,FABRIC 320克蝶网肤色 四面弹类布
176,02.06.10,FABRIC 裸感高弹黑色30/40 70N30SP 210克 四面弹类布
177,02.06.11,FABRIC 裸感高弹灰色30/40 70N30SP 210克 四面弹类布
178,02.06.12,FABRIC 310gsm梵美高弹黑色 四面弹类布
179,02.06.13,FABRIC 310gsm梵美高弹灰色 四面弹类布
180,02.06.16,FABRIC 山波条纹布浅灰色 四面弹类布
181,02.07.01,FABRIC 加硬粘扣布黑色 粘扣布
182,02.07.02,FABRIC 加硬粘扣布灰色 粘扣布
183,02.07.03,FABRIC 布粘布粗面白色 粘扣布
184,02.07.04,FABRIC 布粘布细面白色 粘扣布
185,02.07.05,FABRIC 粘扣布漂白色+15Spvc 粘扣布
186,02.08.01,FABRIC 49#灰色N裸感布+1mm黑色PU棉+0.1mmtpu膜 泡棉贴合类复合面料
187,02.08.02,FABRIC 仿ok+T70泡棉+牛奶丝磨毛黑色 泡棉贴合类复合面料
188,02.09.01,FABRIC 奥粒绒对贴蓝灰色 胶水类贴合类复合面料
189,02.09.02,FABRIC 奥粒绒对贴米白色 胶水类贴合类复合面料
190,02.09.03,FABRIC N裸感布黑色对贴 胶水类贴合类复合面料
191,02.10.01,FABRIC 涤氨四面弹网布漂白色260克 四面弹网布
192,02.11.01,FABRIC 树脂网布漂白色 无弹力网布
193,02.12.01,FABRIC TC梭织布白色 梭织布
194,03.19.02,VELCRO 富士山丝印黑色 魔术贴整体
195,03.19.03,VELCRO 富士山丝印灰色 魔术贴整体
196,03.19.04,VELCRO seruna丝印黑色 魔术贴整体
197,03.19.05,VELCRO seruna丝印灰色 魔术贴整体
198,03.19.06,VELCRO 二级防护丝印黑色 魔术贴整体
199,03.19.07,VELCRO 二级防护丝印蓝灰色 魔术贴整体
200,03.19.08,VELCRO seruna+富士山丝印灰色 魔术贴整体
201,03.19.09,VELCRO TMT reco 丝印黑色 魔术贴整体
202,03.05.01,VELCRO 2#射出勾黑色 射出勾魔术贴（刺面）
203,03.05.02,VELCRO 2#射出勾透明 射出勾魔术贴（刺面）
204,03.05.03,VELCRO 2#射出勾灰色 射出勾魔术贴（刺面）
205,03.06.01,VELCRO 2#射出勾背10s热熔胶黑色 背热熔胶魔术贴 （刺面+热熔胶）
206,03.06.02,VELCRO 2#射出勾背10s热熔胶肤色 背热熔胶魔术贴 （刺面+热熔胶）
207,03.06.03,VELCRO 2#射出勾背10s热熔胶透明色 背热熔胶魔术贴 （刺面+热熔胶）
208,03.07.01,VELCRO 细软勾复牛巴革黑色 背布魔术贴
209,03.07.02,VELCRO 细软勾复牛巴革灰色 背布魔术贴
210,03.07.03,VELCRO 2#射出勾背粘扣布黑色 背布魔术贴
211,03.07.04,VELCRO 2#透明射出勾背肤色粘扣布 背布魔术贴
212,03.07.05,VELCRO 2#射出勾复牛巴革黑色 背布魔术贴
213,03.07.06,VELCRO 2#射出勾复牛巴革灰色 背布魔术贴
214,03.07.07,VELCRO 2#透明射出勾背浅灰色粘扣布H2 背布魔术贴
215,03.08.01,VELCRO 毛面粘扣带黑色 毛面魔术贴
216,03.08.02,VELCRO 毛面粘扣带灰色 毛面魔术贴
217,03.09.01,VELCRO 20sTPU热熔胶膜 热熔胶膜类
218,02.20.01,WEBBING 2cm松紧带灰色黑色单条纹 松紧带
219,02.20.02,WEBBING 5CM鱼丝松紧带黑色 松紧带
220,02.20.03,WEBBING 5CM鱼丝松紧带灰色 松紧带
221,02.20.04,WEBBING 5CM轻薄款鱼丝松紧带黑色 松紧带
222,02.20.05,WEBBING 5CM轻薄款鱼丝松紧带白色 松紧带
223,02.20.06,WEBBING 5cm松紧带黑色 松紧带
224,02.20.07,WEBBING 5cm乳胶网眼松紧带黑色 松紧带
225,02.20.08,WEBBING 5cm乳胶网眼松紧带灰色 松紧带
226,02.20.09,WEBBING 8cm鱼丝带漂白色 松紧带
227,02.20.12,WEBBING 4cm压花松紧带黑色 松紧带
228,02.20.13,WEBBING 5cm富士山印花松紧带蓝白色 松紧带
229,02.21.01,WEBBING 2cm刚性带人字黑色 刚性带
230,02.21.02,WEBBING 2cm刚性带人字灰色 刚性带
231,02.21.03,WEBBING 2.5cm平纹刚性带灰色 刚性带
232,02.21.04,WEBBING 2.5cm横条刚性带黑色 刚性带
233,02.21.05,WEBBING 3CM防滑刚性带漂白色 刚性带
234,02.21.06,WEBBING 32mm双人字带白色 刚性带
235,02.21.07,WEBBING 1cm刚性带黑色 刚性带
236,03.01.01,PAD PP支撑条 塑料支撑类
237,03.01.02,PAD S型支撑板 塑料支撑类
238,"03.01.03【左】
03.01.04【右】",PAD 护踝支撑板左 护踝支撑板右 塑料支撑类
239,"03.01.05【左】
03.01.06【右】",PAD 护踝支撑板左 护踝支撑板右 塑料支撑类
240,03.01.07【左】,PAD 护踝支撑块黑色左 塑料支撑类
241,03.01.08【右】,PAD 护踝支撑块黑色右 塑料支撑类
242,03.01.09【左】,PAD 护踝支撑块灰色左 塑料支撑类
243,03.01.10【右】,PAD 护踝支撑块灰色右 塑料支撑类
244,03.01.11,PAD 1mm厚度尼龙片黑色 塑料支撑类
245,03.01.12,PAD 旋钮扣黑色（旋钮、边扣、线） 塑料支撑类
246,03.01.13,PAD 旋钮扣白色（旋钮、边扣、线） 塑料支撑类
247,03.01.15,PAD 6mm*2mm厚度*28mm长度pp条 塑料支撑类
248,03.02.01,PAD 1.5*28*168护腕铝支撑条 金属支撑类
249,03.02.02,PAD 0.5*12*125喷塑支撑条 金属支撑类
250,03.02.03,PAD 1.2*9.5*140护腕支撑条 金属支撑类
251,03.02.04,PAD 0.9*19*158Z弧形钢条 金属支撑类
252,03.02.05,PAD 10*140mm鱼鳞骨弹簧 金属支撑类
253,03.03.01,PAD 护踝TPE缓冲垫左 TPE、硅胶等缓冲垫
254,03.03.02,PAD 护踝TPE缓冲垫右 TPE、硅胶等缓冲垫
255,03.03.03,PAD 髌骨带硅胶缓冲垫左 TPE、硅胶等缓冲垫
256,03.03.04,PAD 髌骨带硅胶缓冲垫右 TPE、硅胶等缓冲垫
257,03.03.05,PAD 5mm白色乳胶垫 TPE、硅胶等缓冲垫
258,03.03.06,PAD tpe骨头形缓冲垫 TPE、硅胶等缓冲垫
259,03.03.07,PAD 足底缓冲垫 TPE、硅胶等缓冲垫
260,03.04.01,PAD PE60克棉絮片 填充棉
261,03.04.02,PAD 羽绒棉 填充棉
262,03.11.01,PARTS 内径2.5cm内置车缝扣黑色 塑料扣具
263,03.11.02,PARTS 内径2.5cm内置车缝扣灰色 塑料扣具
264,03.11.03,PARTS 5cm车缝扣黑色 塑料扣具
265,03.11.04,PARTS 5cm车缝扣灰色 塑料扣具
266,03.11.05,PARTS 50MM口字扣黑色 塑料扣具
267,03.11.06,PARTS 50MM口字扣灰色 塑料扣具
268,03.11.07,PARTS 38MM口字扣黑色 塑料扣具
269,03.11.08,PARTS 38MM口字扣灰色 塑料扣具
270,03.11.09,PARTS 4#旋纽扣黑色 塑料扣具
271,03.11.10,PARTS 1.8*3.5cm边扣黑色 塑料扣具
272,03.11.11,PARTS 0.8mm旋钮钢丝绳黑色 塑料扣具
273,03.12.01,PARTS 2.3cm金属口字扣灰色带牙齿 金属扣具
274,03.12.02,PARTS T面铆钉 金属扣具
275,03.13.01,APPEARANCE 10*50mm SERUNA蓝白色滴塑标 PVC滴塑标
276,03.13.02,APPEARANCE 16*50MM TMT-RECOVERY灰橙白色滴塑标 PVC滴塑标
277,03.13.03,APPEARANCE 12*50mm JAFFICK黑白色滴塑标 PVC滴塑标
278,03.13.04,APPEARANCE SERKURA粉白色滴塑标左 PVC滴塑标
279,03.13.05,APPEARANCE SERKURA粉白色滴塑标右 PVC滴塑标
280,03.13.06,APPEARANCE 10*50mm TMT RECO蓝白色滴塑标 PVC滴塑标
281,"03.14.01（左）
03.14.02（右）",APPEARANCE 11.5*65mm SERUNA硅胶烫标左手蓝色 硅胶转烫标
282,"03.14.03（左）
03.14.04（右）",APPEARANCE 21.8*40mm SERUNA硅胶烫标左手蓝色 21.8*40mm SERUNA硅胶烫标右手蓝色 硅胶转烫标
283,03.14.05,APPEARANCE 31.46*77.02mm SERUNA硅胶烫标蓝色 硅胶转烫标
284,03.14.06,APPEARANCE 11.85*60mm  SERUNA硅胶烫标蓝色 硅胶转烫标
285,"03.14.07（左）
03.14.08（右）",APPEARANCE 45.8*95mm  富士山硅胶烫标蓝色左脚 45.8*95mm  富士山硅胶烫标蓝色右脚 硅胶转烫标
286,03.14.09,APPEARANCE 9*30MM T-comb橙白色硅胶烫标 硅胶转烫标
287,03.14.10,APPEARANCE 24*32mm seruna+圆形富士山硅胶烫标蓝色 硅胶转烫标
288,03.14.11,APPEARANCE 护踝斜角折弯硅胶烫标蓝色M码 硅胶转烫标
289,03.14.12,APPEARANCE 护踝斜角折弯硅胶烫标蓝色L码 硅胶转烫标
290,03.14.13,APPEARANCE 护踝斜角折弯硅胶烫标蓝色XL码 硅胶转烫标
291,03.14.14,APPEARANCE 护踝斜角折弯硅胶烫标蓝色XXL码 硅胶转烫标
292,03.14.15,APPEARANCE 31.1*86.6mm seruna T-comb硅胶烫标蓝色 硅胶转烫标
293,03.14.16,APPEARANCE 20*26.7mm TMT硅胶烫标蓝色 硅胶转烫标
294,03.14.17,APPEARANCE 50*28.4mm TMT-reco硅胶烫标蓝色 硅胶转烫标
295,03.14.18,APPEARANCE 护踝圆弧折弯硅胶烫标蓝色M码 硅胶转烫标
296,03.14.19,APPEARANCE 护踝圆弧折弯硅胶烫标蓝色L码 硅胶转烫标
297,03.14.20,APPEARANCE 护踝圆弧折弯硅胶烫标蓝色XL码 硅胶转烫标
298,03.14.21,APPEARANCE 护踝圆弧折弯硅胶烫标蓝色XXL码 硅胶转烫标
299,03.14.22,APPEARANCE 硅胶烫标蓝色左手 硅胶转烫标
300,03.14.23,APPEARANCE 硅胶烫标蓝色右手 硅胶转烫标
301,03.14.24,APPEARANCE TMTRECO硅胶烫标蓝色 硅胶转烫标
302,03.14.25,APPEARANCE 硅胶烫标蓝色 硅胶转烫标
303,03.14.26,APPEARANCE seruna硅胶烫标蓝色 硅胶转烫标
304,03.15.01,APPEARANCE seruna烫标白色 油墨转烫标
305,03.15.02,APPEARANCE 左手L码烫标白色 油墨转烫标
306,03.15.03,APPEARANCE 右手R码烫标白色 油墨转烫标
307,03.15.04,APPEARANCE 拇指左手富士山烫标白色 油墨转烫标
308,03.15.05,APPEARANCE 拇指右手富士山烫标白色 油墨转烫标
309,03.15.06,APPEARANCE 拇指富士山logo烫标白色 油墨转烫标
310,03.15.07,APPEARANCE TMT烫标白色 油墨转烫标
311,03.16.01,APPEARANCE 7.3*37mm SERUNA反光烫标 反光转烫标
312,03.16.02,APPEARANCE 9.5*19.2mm 富士山反光烫标 反光转烫标
313,03.16.03（左）,APPEARANCE 15.3*65.2mm T-comb平面反光标左手 反光转烫标
314,03.16.04（右）,APPEARANCE 15.3*65.2mm T-comb平面反光标右手 反光转烫标
315,03.16.05,APPEARANCE 5.5*35.2mm JAFFICK字母反光标 反光转烫标
316,03.16.08,APPEARANCE 4*170mmJAFFICK反光烫标 反光转烫标
317,03.16.09,APPEARANCE 21.429*30mm三线反光烫标左 反光转烫标
318,03.16.10,APPEARANCE 21.429*30mm三线反光烫标右 反光转烫标
319,03.16.11,APPEARANCE 6.5*4.94cmJAFFICK J型反光标 反光转烫标
320,03.16.12,APPEARANCE 19.3*2.68cmJAFFICK反光标 反光转烫标
321,03.16.13,APPEARANCE 8.87*4.13cmJAFFICK拇指护腕反光标左手 反光转烫标
322,03.16.14,APPEARANCE 8.87*4.13cmJAFFICK拇指护腕反光标右手 反光转烫标
323,03.16.15,APPEARANCE JAFFICK均码反光标左手 反光转烫标
324,03.16.16,APPEARANCE JAFFICK均码反光标右手 反光转烫标
325,03.16.17,APPEARANCE 1.07*1.5cm三线半圆反光标 反光转烫标
326,03.16.18,APPEARANCE 16.4*2.84cmJAFFICK反光标 反光转烫标
327,03.17.01,APPEARANCE TMT-RECO发泡转烫标白色 发泡类转烫标
328,03.17.02,APPEARANCE 10.7*15mm 三线发泡烫标白色 发泡类转烫标
329,03.17.03,APPEARANCE 12*180mm 连续小富士山发泡烫标蓝色 发泡类转烫标
330,03.17.04,APPEARANCE 19*60.4mm 富士山发泡烫标蓝色 发泡类转烫标
331,03.17.05,APPEARANCE 12.2*30mm 富士山发泡烫标白色 发泡类转烫标
332,03.17.06,APPEARANCE 8.2*41.4mm SERUNA字母发泡烫标黑色 发泡类转烫标
333,03.17.11,APPEARANCE 32.8*4.2mmSERUNA白蓝色发泡烫标 发泡类转烫标
334,03.17.12,APPEARANCE 18.2*4.7mm山波纹发泡烫标白色 发泡类转烫标
335,03.18.01,APPEARANCE 6.24*40mm JAFFICK三色转烫标 数码转烫标
336,03.18.02,APPEARANCE 18.05*25mm三色跑道转烫标 数码转烫标
337,03.18.03,APPEARANCE 40*55.34mm三色跑道转烫标 数码转烫标
338,03.18.04,APPEARANCE 28.7*40.36mm三色半圆跑道转烫标 数码转烫标
339,03.18.05,APPEARANCE 樱花数码烫标S码 数码转烫标
340,03.18.06,APPEARANCE 樱花数码烫标M码 数码转烫标
341,03.18.07,APPEARANCE 樱花数码烫标L码 数码转烫标
342,03.18.08,APPEARANCE 樱花数码烫标 数码转烫标
343,03.18.09,APPEARANCE TFCC护腕烫标蓝白 数码转烫标
344,03.18.10,APPEARANCE TFCC护腕烫标蓝黑 数码转烫标
345,03.19.01,APPEARANCE 网球护腕丝网印刷 丝网印标
346,03.19.11,APPEARANCE 富士山足底丝印蓝灰色 丝网印标
347,03.20.01,APPEARANCE 1*2.5尺码标 XS码 尺码标
348,03.20.02,APPEARANCE 1*2.5尺码标 S码 尺码标
349,03.20.03,APPEARANCE 1*2.5尺码标 M码 尺码标
350,03.20.04,APPEARANCE 1*2.5尺码标 L码 尺码标
351,03.20.05,APPEARANCE 1*2.6尺码标 XL码 尺码标
352,03.20.06,APPEARANCE 1*2.7尺码标 XXL码 尺码标
353,03.20.07,APPEARANCE 1*2.7尺码标 均码 尺码标
354,03.20.08,APPEARANCE 1*2.6尺码标 左 尺码标
355,03.20.09,APPEARANCE 1*2.6尺码标 右 尺码标
