序号,cbb_code,embedding_text
60,HB2026-S38,面料 锦纶网布 灰色 透气 耐磨 轻便
61,HB2026-S62,面料 PK布+SCR+锦纶莱卡 黑色 支撑 高弹 耐磨 复合
62,HB2026-S63,面料 黑仿OK+TPU+黑锦纶莱卡 黑色 透气 防水 高弹 耐磨
63,HB2026-S64,面料 白仿OK+TPU+白锦纶莱卡 白色 透气 防水 高弹 耐磨
64,HB2026-S32,面料 PU皮革 灰色 耐磨 防水 硬质 耐用
65,HB2026-S66,面料 压纹增强皮革 银色 耐磨 硬质 纹理 耐用
66,HB2026-S70,面料 水晶氨纶 高弹 光泽 亲肤 轻便
67,HB2026-S71,面料 水晶氨纶 高弹 光泽 亲肤 轻便
68,HB2026-S25,魔术贴 尼龙细勾面 射出勾面
69,HB2026-S26,魔术贴 尼龙细勾面 射出勾面
70,HB2026-S28,魔术贴 尼龙勾面 射出勾面
71,HB2026-S29,魔术贴 尼龙勾面 射出勾面
72,HB2026-S27,魔术贴 尼龙细软勾面 细软勾面
73,HB2026-S30,魔术贴 尼龙细软勾面 细软勾面
74,HB2026-S31,魔术贴 拉毛布复合尼龙勾面 背布魔术贴
75,HB2026-S23,织带 尼龙松紧带 松紧带
76,HB2026-S35,织带 尼龙织带 刚性带
77,HB2026-S41,支撑垫片 PE塑料条 塑料支撑
78,HB2026-S72,支撑垫片 铝条支撑片 金属支撑
79,HB2026-S73,支撑垫片 铝条支撑片 金属支撑
80,HB2026-S74,支撑垫片 铝条支撑片 金属支撑
81,HB2026-S75,支撑垫片 铝条支撑片 金属支撑
82,HB2026-S76,支撑垫片 铝条支撑片 金属支撑
83,HB2026-S77,支撑垫片 铝条支撑片 金属支撑
84,HB2026-S69,支撑垫片 高发泡 发泡材料
85,HB2026-S39,配件 PP塑料壳 调节配件
86,HB2026-S40,配件 PP塑料壳 调节配件
87,HB2026-S24,配件 PP塑料壳 支撑配件
88,HB2026-S42,外观 印花 SERUNA logo 白色 logo印花
89,HB2026-S43,外观 印花 SERUNA logo 蓝色 logo印花
90,HB2026-S44,外观 印花 SERUNA 文字logo 白色 logo印花
91,HB2026-S45,外观 印花 SERUNA logo 圆形 logo印花
92,HB2026-S46,外观 印花 SERUNA 魔术贴 logo印花
93,HB2026-S47,外观 印花 SERUNA logo 山形+圆形1 logo印花
94,HB2026-S48,外观 印花 SERUNA logo 山形+圆形2 logo印花
95,HB2026-S49,外观 印花 SERUNA logo 山形 logo印花
96,HB2026-S50,外观 印花 TMT康复弧线 主体印花
97,HB2026-S51,外观 印花 SERUNA 护踝 主体印花
98,HB2026-S52,外观 印花 SERUNA 护膝 蓝白 主体印花
99,HB2026-S53,外观 印花 SERUNA 护膝 黑白 主体印花
100,HB2026-S54,外观 印花 SERUNA 护踝 蓝白 主体印花
101,HB2026-S55,外观 印花 SERUNA 护踝 黑蓝 主体印花
102,BX-HX-04,版型 莱卡夹胶复合面料
103,BX-HX-05,版型 莱卡夹胶复合面料
104,BX-HX-10,版型 双面复合摇粒绒
105,BX-HX-11,版型 莱卡TPU复合面料
106,BX-HY-05,版型 带孔亲肤复合面料
107,BX-HY-06,版型 透气弹性复合面料
108,BX-HW-03,版型 方形弹力网布 升级不变形
109,BX-HW-04,版型 高弹透气针织布
110,BX-HW-05,版型 莱卡高弹力针织布
111,BX-HW-06,版型 N裸感布黑色对贴
112,BX-HW-09,版型 透气网孔三明治布
113,BX-HW-10,版型 透气网孔三明治布
114,BX-HW-11,版型 锦氨网眼布
115,BX-HW-12,版型 锦氨小蝶网+高回弹TPU+超细OK灰色
116,BX-HW-13,版型 粘扣布背热熔胶黑色
117,BX-HH-01,版型 亲肤带孔莱卡布
118,BX-HH-05,版型 打孔高弹力针织布复合
119,BX-HH-06,版型 三明治网布
120,BX-HH-07,版型 200克涤氨四面弹灰色
121,02.01.01,面料 网眼三明治 透气 立体 支撑 轻便
122,02.01.02,面料 网眼三明治 透气 立体 支撑 轻便
123,02.02.01,面料 牛巴哥黑色 耐磨 硬质 耐用 厚实
124,02.02.02,面料 牛巴哥灰色 耐磨 硬质 耐用 厚实
125,02.02.03,面料 牛津布底细布纹革黑色 耐磨 柔软 耐用 亲肤
126,02.02.04,面料 牛津布底细布纹革灰色改肤感硅胶 耐磨 柔软 耐用 亲肤
127,02.02.05,面料 新欧标细羊纹黑色 细腻 环保 柔软 耐磨
128,02.02.06,面料 新欧标细羊纹白色 细腻 环保 柔软 耐磨
129,02.03.01,面料 粘扣布贴涤纶莱卡黑色 粘合 高弹 耐用 复合
130,02.03.02,面料 粘扣布贴涤纶莱卡灰色 粘合 高弹 耐用 复合
131,02.03.03,面料 涤氨莱卡 TPU 黑色 高弹 防水 亲肤 复合
132,02.03.04,面料 涤氨莱卡 TPU 肤色 高弹 防水 亲肤 复合
133,02.03.05,面料 纳米网眼 黑色对贴 透气 轻薄 复合 亲肤
134,02.03.06,面料 纳米网眼 肤色对贴 透气 轻薄 复合 亲肤
135,02.03.07,面料 灰色N裸感布+10A浅灰色粘扣布 裸感 亲肤 粘合 复合
136,02.03.08,面料 锦氨小蝶网+高回弹TPU+超细OK黑色 高弹 透气 柔软 耐磨
137,02.03.09,面料 锦氨小蝶网+高回弹TPU+超细OK灰色 高弹 透气 柔软 耐磨
138,02.03.10,面料 锦氨莱卡+ TPU+莱卡灰色 高弹 防水 亲肤 复合
139,02.03.12,面料 纳米网眼灰色 对贴 透气 轻薄 复合 亲肤
140,02.03.13,面料 山波条纹布+ tpu+纳米网眼浅灰色 纹理 防水 透气 轻薄
141,02.03.14,面料 莱卡黑色+ TPU+ok布黑色 高弹 防水 透气 亲肤
142,02.03.15,面料 莱卡灰色+ TPU+ok布灰色 高弹 防水 透气 亲肤
143,02.04.01,面料 灰色锦双面莱卡贴1. SBR贴仿N布 高弹 缓冲 透气 双面
144,02.04.02,面料 仿ok+ SBR+T布+热熔胶膜+打孔黑色 缓冲 透气 粘合 轻便
145,02.04.03,面料 牛奶丝+2MMSBR+牛奶丝 黑色 打孔 亲肤 缓冲 透气 柔软
146,02.04.04,面料 牛奶丝+2MMSBR+牛奶丝 灰色 打孔 亲肤 缓冲 透气 柔软
147,02.04.05,面料 灰仿Ok布+2MM黑SBR+灰N布冲孔 缓冲 透气 轻便 耐磨
148,02.04.06,面料 SBR黑色 缓冲 厚实 轻便 保暖
149,02.05.01,面料 粘扣布背热熔胶黑色 粘合 耐用 硬质
150,02.05.02,面料 粘扣布背热熔胶肤色 粘合 耐用 硬质
151,02.05.03,面料 粘扣布背热熔胶黑色冲孔 粘合 透气 耐用 硬质
152,02.05.04,面料 粘扣布背热熔胶黑色冲孔 粘合 透气 耐用 硬质
153,02.05.05,面料 锦双面莱卡布灰色贴 热熔胶膜 高弹 粘合 亲肤 复合
154,02.05.06,面料 灰色N裸感布贴 热熔胶膜 裸感 亲肤 粘合 复合
155,02.05.07,面料 牛奶丝拉毛黑色贴 热融胶膜 亲肤 保暖 粘合 复合
156,02.05.08,面料 粘扣布背热熔胶肤色H25 粘合 耐用 硬质
157,02.05.09,面料 粘扣布背热熔胶灰色H50 粘合 耐用 硬质
158,02.05.10,面料 蝶网黑色背热熔胶膜 透气 厚重 粘合 耐磨
159,02.05.11,面料 蝶网肤色背热熔胶膜 透气 厚重 粘合 耐磨
160,02.05.12,面料 N裸感布黑色对贴背热熔胶膜 裸感 亲肤 粘合 复合
161,02.05.13,面料 粘扣布背热熔胶浅灰色H2 粘合 耐用 硬质
162,02.05.14,面料 山波条纹布浅灰色背热熔胶膜 纹理 粘合 耐用 复合
163,02.05.15,面料 莱卡+ TPU+莱卡黑色+ 热熔胶膜 高弹 防水 粘合 复合
164,02.05.16,面料 ok布黑色背热熔胶膜 透气 粘合 耐用 复合
165,02.05.17,面料 ok布灰色背热熔胶膜 透气 粘合 耐用 复合
166,02.05.18,面料 莱卡+ TPU+莱卡灰色+ 热熔胶膜 高弹 防水 粘合 复合
167,02.06.01,面料 涤氨四面弹黑色 高弹 耐磨 亲肤
168,02.06.02,面料 涤氨四面弹灰色 高弹 耐磨 亲肤
169,02.06.03,面料 冰感小雨点 蓝色 凉感 纹理 轻薄 亲肤
170,02.06.04,面料 鲨鱼皮白色 紧致 轻薄 亲肤 高弹
171,02.06.05,面料 牛奶丝拉架 白色 亲肤 高弹 轻薄 柔软
172,02.06.06,面料 网眼布 黑色 透气 轻薄 耐用 亲肤
173,02.06.07,面料 网眼布 蓝灰色 透气 轻薄 耐用 亲肤
174,02.06.08,面料 蝶网黑色 透气 厚重 耐磨 高弹
175,02.06.09,面料 蝶网肤色 透气 厚重 耐磨 高弹
176,02.06.10,面料 裸感高弹黑色 裸感 高弹 亲肤
177,02.06.11,面料 裸感高弹灰色 裸感 高弹 亲肤
178,02.06.12,面料 梵美高弹黑色 高弹 厚重 耐磨 亲肤
179,02.06.13,面料 梵美高弹灰色 高弹 厚重 耐磨 亲肤
180,02.06.16,面料 山波条纹布浅灰色 纹理 耐用 亲肤
181,02.07.01,面料 加硬粘扣布黑色 硬质 粘合 耐用 挺括
182,02.07.02,面料 加硬粘扣布灰色 硬质 粘合 耐用 挺括
183,02.07.03,面料 布粘布粗面白色 粘合 纹理 耐用 硬质
184,02.07.04,面料 布粘布细面白色 粘合 纹理 耐用 硬质
185,02.07.05,面料 粘扣布漂白色+15Spvc 粘合 防水 耐用 硬质
186,02.08.01,面料 灰色N裸感布+ 黑色PU棉+0. tpu膜 裸感 柔软 防水 亲肤
187,02.08.02,面料 仿ok+T70泡棉+牛奶丝磨毛黑色 透气 缓冲 亲肤 保暖
188,02.09.01,面料 奥粒绒对贴蓝灰色 保暖 复合 亲肤 柔软
189,02.09.02,面料 奥粒绒对贴米白色 保暖 复合 亲肤 柔软
190,02.09.03,面料 N裸感布黑色对贴 裸感 亲肤 复合 柔软
191,02.10.01,面料 涤氨四面弹网布漂白色 高弹 透气 亲肤
192,02.11.01,面料 树脂网布漂白色 硬质 透气 耐用 挺括
193,02.12.01,面料 TC梭织布白色 耐用 稳定 挺括 透气
194,03.19.02,魔术贴 富士山丝印黑色 魔术贴整体
195,03.19.03,魔术贴 富士山丝印灰色 魔术贴整体
196,03.19.04,魔术贴 seruna丝印黑色 魔术贴整体
197,03.19.05,魔术贴 seruna丝印灰色 魔术贴整体
198,03.19.06,魔术贴 二级防护丝印黑色 魔术贴整体
199,03.19.07,魔术贴 二级防护丝印蓝灰色 魔术贴整体
200,03.19.08,魔术贴 seruna+富士山丝印灰色 魔术贴整体
201,03.19.09,魔术贴 TMT reco 丝印黑色 魔术贴整体
202,03.05.01,魔术贴 2#射出勾黑色 射出勾魔术贴
203,03.05.02,魔术贴 2#射出勾透明 射出勾魔术贴
204,03.05.03,魔术贴 2#射出勾灰色 射出勾魔术贴
205,03.06.01,魔术贴 2#射出勾背10s热熔胶黑色 背热熔胶魔术贴
206,03.06.02,魔术贴 2#射出勾背10s热熔胶肤色 背热熔胶魔术贴
207,03.06.03,魔术贴 2#射出勾背10s热熔胶透明色 背热熔胶魔术贴
208,03.07.01,魔术贴 细软勾复牛巴革黑色 背布魔术贴
209,03.07.02,魔术贴 细软勾复牛巴革灰色 背布魔术贴
210,03.07.03,魔术贴 2#射出勾背粘扣布黑色 背布魔术贴
211,03.07.04,魔术贴 2#透明射出勾背肤色粘扣布 背布魔术贴
212,03.07.05,魔术贴 2#射出勾复牛巴革黑色 背布魔术贴
213,03.07.06,魔术贴 2#射出勾复牛巴革灰色 背布魔术贴
214,03.07.07,魔术贴 2#透明射出勾背浅灰色粘扣布H2 背布魔术贴
215,03.08.01,魔术贴 毛面粘扣带黑色 毛面魔术贴
216,03.08.02,魔术贴 毛面粘扣带灰色 毛面魔术贴
217,03.09.01,魔术贴 20sTPU热熔胶膜 热熔胶膜类
218,02.20.01,织带 2cm松紧带灰色黑色单条纹 松紧带
219,02.20.02,织带 5CM鱼丝松紧带黑色 松紧带
220,02.20.03,织带 5CM鱼丝松紧带灰色 松紧带
221,02.20.04,织带 5CM轻薄款鱼丝松紧带黑色 松紧带
222,02.20.05,织带 5CM轻薄款鱼丝松紧带白色 松紧带
223,02.20.06,织带 5cm松紧带黑色 松紧带
224,02.20.07,织带 5cm乳胶网眼松紧带黑色 松紧带
225,02.20.08,织带 5cm乳胶网眼松紧带灰色 松紧带
226,02.20.09,织带 8cm鱼丝带漂白色 松紧带
227,02.20.12,织带 4cm压花松紧带黑色 松紧带
228,02.20.13,织带 5cm富士山印花松紧带蓝白色 松紧带
229,02.21.01,织带 2cm刚性带人字黑色 刚性带
230,02.21.02,织带 2cm刚性带人字灰色 刚性带
231,02.21.03,织带 2.5cm平纹刚性带灰色 刚性带
232,02.21.04,织带 2.5cm横条刚性带黑色 刚性带
233,02.21.05,织带 3CM防滑刚性带漂白色 刚性带
234,02.21.06,织带 32mm双人字带白色 刚性带
235,02.21.07,织带 1cm刚性带黑色 刚性带
236,03.01.01,支撑垫片 PP支撑条 塑料支撑类
237,03.01.02,支撑垫片 S型支撑板 塑料支撑类
238,"03.01.03【左】
03.01.04【右】",支撑垫片 护踝支撑板左 护踝支撑板右 塑料支撑类
239,"03.01.05【左】
03.01.06【右】",支撑垫片 护踝支撑板左 护踝支撑板右 塑料支撑类
240,03.01.07【左】,支撑垫片 护踝支撑块黑色左 塑料支撑类
241,03.01.08【右】,支撑垫片 护踝支撑块黑色右 塑料支撑类
242,03.01.09【左】,支撑垫片 护踝支撑块灰色左 塑料支撑类
243,03.01.10【右】,支撑垫片 护踝支撑块灰色右 塑料支撑类
244,03.01.11,支撑垫片 1mm厚度尼龙片黑色 塑料支撑类
245,03.01.12,支撑垫片 旋钮扣黑色 塑料支撑类
246,03.01.13,支撑垫片 旋钮扣白色 塑料支撑类
247,03.01.15,支撑垫片 6mm*2mm厚度*28mm长度pp条 塑料支撑类
248,03.02.01,支撑垫片 1.5*28*168护腕铝支撑条 金属支撑类
249,03.02.02,支撑垫片 0.5*12*125喷塑支撑条 金属支撑类
250,03.02.03,支撑垫片 1.2*9.5*140护腕支撑条 金属支撑类
251,03.02.04,支撑垫片 0.9*19*158Z弧形钢条 金属支撑类
252,03.02.05,支撑垫片 10*140mm鱼鳞骨弹簧 金属支撑类
253,03.03.01,支撑垫片 护踝TPE缓冲垫左 TPE、硅胶等缓冲垫
254,03.03.02,支撑垫片 护踝TPE缓冲垫右 TPE、硅胶等缓冲垫
255,03.03.03,支撑垫片 髌骨带硅胶缓冲垫左 TPE、硅胶等缓冲垫
256,03.03.04,支撑垫片 髌骨带硅胶缓冲垫右 TPE、硅胶等缓冲垫
257,03.03.05,支撑垫片 5mm白色乳胶垫 TPE、硅胶等缓冲垫
258,03.03.06,支撑垫片 tpe骨头形缓冲垫 TPE、硅胶等缓冲垫
259,03.03.07,支撑垫片 足底缓冲垫 TPE、硅胶等缓冲垫
260,03.04.01,支撑垫片 PE60克棉絮片 填充棉
261,03.04.02,支撑垫片 羽绒棉 填充棉
262,03.11.01,配件 内径2.5cm内置车缝扣黑色 塑料扣具
263,03.11.02,配件 内径2.5cm内置车缝扣灰色 塑料扣具
264,03.11.03,配件 5cm车缝扣黑色 塑料扣具
265,03.11.04,配件 5cm车缝扣灰色 塑料扣具
266,03.11.05,配件 50MM口字扣黑色 塑料扣具
267,03.11.06,配件 50MM口字扣灰色 塑料扣具
268,03.11.07,配件 38MM口字扣黑色 塑料扣具
269,03.11.08,配件 38MM口字扣灰色 塑料扣具
270,03.11.09,配件 4#旋纽扣黑色 塑料扣具
271,03.11.10,配件 1.8*3.5cm边扣黑色 塑料扣具
272,03.11.11,配件 0.8mm旋钮钢丝绳黑色 塑料扣具
273,03.12.01,配件 2.3cm金属口字扣灰色带牙齿 金属扣具
274,03.12.02,配件 T面铆钉 金属扣具
275,03.13.01,外观 10*50mm SERUNA蓝白色滴塑标 PVC滴塑标
276,03.13.02,外观 16*50MM TMT-RECOVERY灰橙白色滴塑标 PVC滴塑标
277,03.13.03,外观 12*50mm JAFFICK黑白色滴塑标 PVC滴塑标
278,03.13.04,外观 SERKURA粉白色滴塑标左 PVC滴塑标
279,03.13.05,外观 SERKURA粉白色滴塑标右 PVC滴塑标
280,03.13.06,外观 10*50mm TMT RECO蓝白色滴塑标 PVC滴塑标
281,"03.14.01（左）
03.14.02（右）",外观 11.5*65mm SERUNA硅胶烫标左手蓝色 硅胶转烫标
282,"03.14.03（左）
03.14.04（右）",外观 21.8*40mm SERUNA硅胶烫标左手蓝色 21.8*40mm SERUNA硅胶烫标右手蓝色 硅胶转烫标
283,03.14.05,外观 31.46*77.02mm SERUNA硅胶烫标蓝色 硅胶转烫标
284,03.14.06,外观 11.85*60mm SERUNA硅胶烫标蓝色 硅胶转烫标
285,"03.14.07（左）
03.14.08（右）",外观 45.8*95mm 富士山硅胶烫标蓝色左脚 45.8*95mm 富士山硅胶烫标蓝色右脚 硅胶转烫标
286,03.14.09,外观 9*30MM T-comb橙白色硅胶烫标 硅胶转烫标
287,03.14.10,外观 24*32mm seruna+圆形富士山硅胶烫标蓝色 硅胶转烫标
288,03.14.11,外观 护踝斜角折弯硅胶烫标蓝色M码 硅胶转烫标
289,03.14.12,外观 护踝斜角折弯硅胶烫标蓝色L码 硅胶转烫标
290,03.14.13,外观 护踝斜角折弯硅胶烫标蓝色XL码 硅胶转烫标
291,03.14.14,外观 护踝斜角折弯硅胶烫标蓝色XXL码 硅胶转烫标
292,03.14.15,外观 31.1*86.6mm seruna T-comb硅胶烫标蓝色 硅胶转烫标
293,03.14.16,外观 20*26.7mm TMT硅胶烫标蓝色 硅胶转烫标
294,03.14.17,外观 50*28.4mm TMT-reco硅胶烫标蓝色 硅胶转烫标
295,03.14.18,外观 护踝圆弧折弯硅胶烫标蓝色M码 硅胶转烫标
296,03.14.19,外观 护踝圆弧折弯硅胶烫标蓝色L码 硅胶转烫标
297,03.14.20,外观 护踝圆弧折弯硅胶烫标蓝色XL码 硅胶转烫标
298,03.14.21,外观 护踝圆弧折弯硅胶烫标蓝色XXL码 硅胶转烫标
299,03.14.22,外观 硅胶烫标蓝色左手 硅胶转烫标
300,03.14.23,外观 硅胶烫标蓝色右手 硅胶转烫标
301,03.14.24,外观 TMTRECO硅胶烫标蓝色 硅胶转烫标
302,03.14.25,外观 硅胶烫标蓝色 硅胶转烫标
303,03.14.26,外观 seruna硅胶烫标蓝色 硅胶转烫标
304,03.15.01,外观 seruna烫标白色 油墨转烫标
305,03.15.02,外观 左手L码烫标白色 油墨转烫标
306,03.15.03,外观 右手R码烫标白色 油墨转烫标
307,03.15.04,外观 拇指左手富士山烫标白色 油墨转烫标
308,03.15.05,外观 拇指右手富士山烫标白色 油墨转烫标
309,03.15.06,外观 拇指富士山logo烫标白色 油墨转烫标
310,03.15.07,外观 TMT烫标白色 油墨转烫标
311,03.16.01,外观 7.3*37mm SERUNA反光烫标 反光转烫标
312,03.16.02,外观 9.5*19.2mm 富士山反光烫标 反光转烫标
313,03.16.03（左）,外观 15.3*65.2mm T-comb平面反光标左手 反光转烫标
314,03.16.04（右）,外观 15.3*65.2mm T-comb平面反光标右手 反光转烫标
315,03.16.05,外观 5.5*35.2mm JAFFICK字母反光标 反光转烫标
316,03.16.08,外观 4*170mmJAFFICK反光烫标 反光转烫标
317,03.16.09,外观 21.429*30mm三线反光烫标左 反光转烫标
318,03.16.10,外观 21.429*30mm三线反光烫标右 反光转烫标
319,03.16.11,外观 6.5*4.94cmJAFFICK J型反光标 反光转烫标
320,03.16.12,外观 19.3*2.68cmJAFFICK反光标 反光转烫标
321,03.16.13,外观 8.87*4.13cmJAFFICK拇指护腕反光标左手 反光转烫标
322,03.16.14,外观 8.87*4.13cmJAFFICK拇指护腕反光标右手 反光转烫标
323,03.16.15,外观 JAFFICK均码反光标左手 反光转烫标
324,03.16.16,外观 JAFFICK均码反光标右手 反光转烫标
325,03.16.17,外观 1.07*1.5cm三线半圆反光标 反光转烫标
326,03.16.18,外观 16.4*2.84cmJAFFICK反光标 反光转烫标
327,03.17.01,外观 TMT-RECO发泡转烫标白色 发泡类转烫标
328,03.17.02,外观 10.7*15mm 三线发泡烫标白色 发泡类转烫标
329,03.17.03,外观 12*180mm 连续小富士山发泡烫标蓝色 发泡类转烫标
330,03.17.04,外观 19*60.4mm 富士山发泡烫标蓝色 发泡类转烫标
331,03.17.05,外观 12.2*30mm 富士山发泡烫标白色 发泡类转烫标
332,03.17.06,外观 8.2*41.4mm SERUNA字母发泡烫标黑色 发泡类转烫标
333,03.17.11,外观 32.8*4.2mmSERUNA白蓝色发泡烫标 发泡类转烫标
334,03.17.12,外观 18.2*4.7mm山波纹发泡烫标白色 发泡类转烫标
335,03.18.01,外观 6.24*40mm JAFFICK三色转烫标 数码转烫标
336,03.18.02,外观 18.05*25mm三色跑道转烫标 数码转烫标
337,03.18.03,外观 40*55.34mm三色跑道转烫标 数码转烫标
338,03.18.04,外观 28.7*40.36mm三色半圆跑道转烫标 数码转烫标
339,03.18.05,外观 樱花数码烫标S码 数码转烫标
340,03.18.06,外观 樱花数码烫标M码 数码转烫标
341,03.18.07,外观 樱花数码烫标L码 数码转烫标
342,03.18.08,外观 樱花数码烫标 数码转烫标
343,03.18.09,外观 TFCC护腕烫标蓝白 数码转烫标
344,03.18.10,外观 TFCC护腕烫标蓝黑 数码转烫标
345,03.19.01,外观 网球护腕丝网印刷 丝网印标
346,03.19.11,外观 富士山足底丝印蓝灰色 丝网印标
347,03.20.01,外观 1*2.5尺码标 XS码 尺码标
348,03.20.02,外观 1*2.5尺码标 S码 尺码标
349,03.20.03,外观 1*2.5尺码标 M码 尺码标
350,03.20.04,外观 1*2.5尺码标 L码 尺码标
351,03.20.05,外观 1*2.6尺码标 XL码 尺码标
352,03.20.06,外观 1*2.7尺码标 XXL码 尺码标
353,03.20.07,外观 1*2.7尺码标 均码 尺码标
354,03.20.08,外观 1*2.6尺码标 左 尺码标
355,03.20.09,外观 1*2.6尺码标 右 尺码标
